participantID,initial_prompt_date,answer_status,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled
pretendedconstrainfraying,2020-10-06,Completed,1.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,-1.0,3.0,2.0,3.0,2.0,2.0,0.0
pretendedconstrainfraying,2020-10-07,Completed,1.0,4.0,1.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,-1.0,3.0,2.0,4.0,2.0,-1.0,0.0
pretendedconstrainfraying,2020-10-08,Completed,1.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,0.0
pretendedconstrainfraying,2020-10-09,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
pretendedconstrainfraying,2020-10-10,PartiallyCompleted,1.0,4.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
pretendedconstrainfraying,2020-10-11,Completed,1.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,-1.0,0.0
pretendedconstrainfraying,2020-10-12,Completed,1.0,4.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,-1.0,0.0
pretendedconstrainfraying,2020-10-13,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
pretendedconstrainfraying,2020-10-14,Completed,2.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,-1.0,0.0
pretendedconstrainfraying,2020-10-15,Completed,1.0,4.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,2.0,1.0,0.0
pretendedconstrainfraying,2020-10-16,Completed,1.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,0.0
pretendedconstrainfraying,2020-10-17,Completed,1.0,4.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,0.0
pretendedconstrainfraying,2020-10-18,Completed,1.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,2.0,-1.0,0.0
pretendedconstrainfraying,2020-10-19,Completed,1.0,4.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,0.0
pretendedconstrainfraying,2020-10-20,Completed,1.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,1.0,0.0
pretendedconstrainfraying,2020-10-21,Completed,2.0,4.0,2.0,3.0,4.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,-1.0,0.0
pretendedconstrainfraying,2020-10-22,Completed,2.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,1.0,0.0
pretendedconstrainfraying,2020-10-23,Completed,2.0,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,0.0
pretendedconstrainfraying,2020-10-24,Completed,2.0,4.0,2.0,3.0,4.0,2.0,3.0,1.0,1.0,4.0,4.0,2.0,3.0,4.0,2.0,1.0,0.0
pretendedconstrainfraying,2020-10-25,Completed,1.0,4.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,4.0,2.0,-1.0,0.0
pretendedconstrainfraying,2020-10-26,Completed,2.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,2.0,-1.0,0.0
pretendedconstrainfraying,2020-10-27,Completed,1.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0,1.0,3.0,4.0,3.0,2.0,3.0,2.0,1.0,0.0
pretendedconstrainfraying,2020-10-28,Completed,1.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,0.0
pretendedconstrainfraying,2020-10-29,Completed,1.0,3.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,-1.0,4.0,2.0,2.0,1.0,0.0
pretendedconstrainfraying,2020-10-29,Completed,1.0,2.0,3.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,2.0,1.0,0.0
pretendedconstrainfraying,2020-10-30,Completed,1.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,4.0,1.0,-1.0,2.0,1.0,2.0,1.0,0.0
pretendedconstrainfraying,2020-10-31,NeverStarted,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
pretendedconstrainfraying,2020-11-01,Completed,2.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,-1.0,0.0
pretendedconstrainfraying,2020-11-02,Completed,3.0,4.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,-1.0,0.0
pretendedconstrainfraying,2020-11-03,Completed,2.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0
pretendedconstrainfraying,2020-11-04,Completed,1.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,2.0,3.0,2.0,-1.0,0.0
pretendedconstrainfraying,2020-11-05,Completed,1.0,3.0,1.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,0.0
pretendedconstrainfraying,2020-11-06,Completed,1.0,4.0,3.0,3.0,4.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,0.0
