.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x30_affmot_sed,x31_int_sed,x32_plan_sed,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x34_affmot_eat,x35_int_eat,x37_plan_eat,x55_engage
atlanticchefhatchet@timestudy_com/2020-10-18/phone_promptresponse_clean_2020-10-18.csv,11,atlanticchefhatchet,Daily,TIME,RANDOM,22,23,2020-10-18,2020-10-18 22:22:00 PDT,GMT-07:00,1603084920201,Completed,2020-10-18,2020-10-18 22:27:28 PDT,1603085248540,2,set_3,47,9,Not at all,Moderately,A little,Moderately,Moderately,Not at all,A little,Quite a bit,A little,Quite a bit,Very much so,Not at all,A little,A little,No,Did not have to work today,0,Sort of,Yes,Not really,Yes,A little,Probably will not,Not really,Not really,Yes,Not at all,Not at all,I am not experiencing viral symptoms,0 days,0 days,More,A lot more,More,Moderate,Moderate,,,,,,,,,,,
atlanticchefhatchet@timestudy_com/2020-10-19/phone_promptresponse_clean_2020-10-19.csv,28,atlanticchefhatchet,Daily,TIME,RANDOM,22,23,2020-10-19,2020-10-19 22:28:00 PDT,GMT-07:00,1603171680265,Completed,2020-10-19,2020-10-19 22:30:12 PDT,1603171812436,1,set_1,24,9,A little,Moderately,Quite a bit,A little,Moderately,A little,A little,Not at all,A little,Moderately,Moderately,Quite a bit,Quite a bit,Not at all,No,Yes,0,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Not really,but I had a goal,,,,,,,
atlanticchefhatchet@timestudy_com/2020-10-20/phone_promptresponse_clean_2020-10-20.csv,23,atlanticchefhatchet,Daily,TIME,RANDOM,22,23,2020-10-20,2020-10-20 22:24:00 PDT,GMT-07:00,1603257840188,Completed,2020-10-20,2020-10-20 22:25:47 PDT,1603257947391,1,set_3,23,9,Not at all,Moderately,Moderately,A little,Moderately,A little,Not at all,Moderately,A little,Moderately,Quite a bit,A little,A little,A little,No,No,0,,,,,A little,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,,
atlanticchefhatchet@timestudy_com/2020-10-21/phone_promptresponse_clean_2020-10-21.csv,23,atlanticchefhatchet,Daily,TIME,RANDOM,22,23,2020-10-21,2020-10-21 22:30:00 PDT,GMT-07:00,1603344600188,Completed,2020-10-21,2020-10-21 22:31:46 PDT,1603344706315,1,set_2,23,9,Not at all,Moderately,Moderately,A little,Moderately,Not at all,Not at all,A little,Not at all,Quite a bit,Moderately,A little,Not at all,Moderately,No,Yes,0,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Trying to decide,,,,
atlanticchefhatchet@timestudy_com/2020-10-22/phone_promptresponse_clean_2020-10-22.csv,22,atlanticchefhatchet,Daily,TIME,RANDOM,22,23,2020-10-22,2020-10-22 22:42:00 PDT,GMT-07:00,1603431720177,Completed,2020-10-22,2020-10-22 22:43:30 PDT,1603431810549,1,set_4,23,9,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,Not at all,A little,Not at all,A little,Quite a bit,A little,Moderately,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Yes,
atlanticchefhatchet@timestudy_com/2020-10-23/phone_promptresponse_clean_2020-10-23.csv,24,atlanticchefhatchet,Daily,TIME,RANDOM,23,0,2020-10-23,2020-10-23 23:17:00 PDT,GMT-07:00,1603520220182,Completed,2020-10-23,2020-10-23 23:18:32 PDT,1603520312008,1,set_4,24,9,Not at all,Quite a bit,Quite a bit,Moderately,Quite a bit,Moderately,Moderately,Quite a bit,A little,Quite a bit,Moderately,Not at all,Not at all,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,A little bit
atlanticchefhatchet@timestudy_com/2020-10-24/phone_promptresponse_clean_2020-10-24.csv,23,atlanticchefhatchet,Daily,BURST,RANDOM,22,23,2020-10-24,2020-10-24 22:43:00 PDT,GMT-07:00,1603604580297,Completed,2020-10-24,2020-10-24 22:44:36 PDT,1603604676673,1,set_3,23,9,Not at all,Quite a bit,Moderately,Moderately,Quite a bit,Not at all,Not at all,A little,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,,A little,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,
atlanticchefhatchet@timestudy_com/2020-10-25/phone_promptresponse_clean_2020-10-25.csv,22,atlanticchefhatchet,Daily,BURST,RANDOM,21,22,2020-10-25,2020-10-25 21:24:00 PDT,GMT-07:00,1603686240154,Completed,2020-10-25,2020-10-25 21:28:22 PDT,1603686502215,1,set_1,49,9,A little,Moderately,Moderately,A little,Moderately,A little,A little,A little,Not at all,Moderately,Very much so,A little,Not at all,Moderately,No,Did not have to work today,0,Sort of,Yes,Yes,Maybe,,,,Not really,Yes,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,More,A lot more,More,Quite a bit,Very little,Quite a bit,Probably will,Sort of,but I had a goal,,,,,,,Somewhat
atlanticchefhatchet@timestudy_com/2020-10-26/phone_promptresponse_clean_2020-10-26.csv,24,atlanticchefhatchet,Daily,BURST,RANDOM,23,0,2020-10-26,2020-10-26 23:19:00 PDT,GMT-07:00,1603779540152,Completed,2020-10-26,2020-10-26 23:20:19 PDT,1603779619419,1,set_1,24,9,Not at all,Moderately,A little,Moderately,Moderately,A little,A little,Not at all,Not at all,Very much so,Very much so,Not at all,A little,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,Very much so,Probably will,Yes,No,,,,,,,
atlanticchefhatchet@timestudy_com/2020-10-27/phone_promptresponse_clean_2020-10-27.csv,24,atlanticchefhatchet,Daily,BURST,RANDOM,23,0,2020-10-27,2020-10-27 23:40:03 PDT,GMT-07:00,1603867203384,Completed,2020-10-27,2020-10-27 23:41:17 PDT,1603867277822,1,set_4,23,9,Not at all,Quite a bit,Moderately,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Very much so,Very much so,Not at all,Not at all,Very much so,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,
