.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x33_goal_sed,x36_goal_eat,x34_affmot_eat,x35_int_eat,x37_plan_eat,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x30_affmot_sed,x29_wgoal_sleep,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x31_int_sed,x32_plan_sed,x38_covid_lonely,x39_covid_health,x40_viralsymp,x55_engage
dimnesscranialunheard@timestudy_com/2020-03-28/phone_promptresponse_clean_2020-03-28.csv,12,dimnesscranialunheard,Daily,TIME,RANDOM,20,21,2020-03-28,2020-03-28 20:20:00 PDT,GMT-07:00,1585452000064,Completed,2020-03-28,2020-03-28 20:23:12 PDT,1585452192635,1,set_1,25,6,Not at all,Moderately,A little,Moderately,Moderately,A little,A little,Moderately,Not at all,Moderately,Moderately,A little,Not at all,A little,No,Did not have to work today,0,Quite a bit,Definitely will,Sort of,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
dimnesscranialunheard@timestudy_com/2020-03-29/phone_promptresponse_clean_2020-03-29.csv,22,dimnesscranialunheard,Daily,TIME,RANDOM,21,22,2020-03-29,2020-03-29 21:27:00 PDT,GMT-07:00,1585542420052,Completed,2020-03-29,2020-03-29 21:30:50 PDT,1585542650851,1,set_1,31,6,Not at all,Moderately,A little,Moderately,Moderately,A little,Moderately,Not at all,A little,Moderately,Moderately,Moderately,A little,Moderately,No,Did not have to work today,0,Very much so,Definitely will,Sort of,Yes,Not really,Yes,Not really,No,Not really,,,,,,,,,,,,,,,,,,,,,
dimnesscranialunheard@timestudy_com/2020-03-30/phone_promptresponse_clean_2020-03-30.csv,21,dimnesscranialunheard,Daily,TIME,RANDOM,20,21,2020-03-30,2020-03-30 20:43:00 PDT,GMT-07:00,1585626180062,Completed,2020-03-30,2020-03-30 20:44:26 PDT,1585626266437,1,set_4,24,6,A little,Moderately,Not at all,Moderately,Moderately,A little,A little,A little,Moderately,Moderately,Moderately,A little,A little,Quite a bit,No,No,0,,,,,,,,,,Very much so,Probably will,Not really,,,,,,,,,,,,,,,,,,
dimnesscranialunheard@timestudy_com/2020-03-31/phone_promptresponse_clean_2020-03-31.csv,21,dimnesscranialunheard,Daily,TIME,RANDOM,20,21,2020-03-31,2020-03-31 20:41:00 PDT,GMT-07:00,1585712460085,Completed,2020-03-31,2020-03-31 20:42:33 PDT,1585712553437,1,set_4,24,6,Not at all,Moderately,A little,Moderately,Moderately,A little,Moderately,Moderately,Not at all,Moderately,Moderately,A little,A little,Quite a bit,No,No,0,,,,,,,,,,Quite a bit,Probably will,Not really,,,,,,,,,,,,,,,,,,
dimnesscranialunheard@timestudy_com/2020-04-01/phone_promptresponse_clean_2020-04-01.csv,21,dimnesscranialunheard,Daily,TIME,RANDOM,20,21,2020-04-01,2020-04-01 20:37:00 PDT,GMT-07:00,1585798620042,Completed,2020-04-01,2020-04-01 20:38:51 PDT,1585798731293,1,set_1,25,6,A little,Moderately,Moderately,A little,Moderately,Moderately,Quite a bit,Quite a bit,Quite a bit,Moderately,Moderately,Moderately,A little,A little,No,No,0,Very much so,Probably will,Sort of,No,,,,,,,,,,,,,,,,,,,,,,,,,,
dimnesscranialunheard@timestudy_com/2020-04-02/phone_promptresponse_clean_2020-04-02.csv,22,dimnesscranialunheard,Daily,BURST,RANDOM,21,22,2020-04-02,2020-04-02 21:11:00 PDT,GMT-07:00,1585887060079,Completed,2020-04-02,2020-04-02 21:31:26 PDT,1585888286882,2,set_4,24,6,Not at all,Quite a bit,A little,Moderately,Quite a bit,Not at all,A little,Not at all,A little,Quite a bit,Quite a bit,A little,Not at all,Moderately,No,No,0,,,,,,,,,,Very much so,Probably will,No,,,,,,,,,,,,,,,,,,
dimnesscranialunheard@timestudy_com/2020-04-03/phone_promptresponse_clean_2020-04-03.csv,21,dimnesscranialunheard,Daily,BURST,RANDOM,20,21,2020-04-03,2020-04-03 20:49:00 PDT,GMT-07:00,1585972140048,Completed,2020-04-03,2020-04-03 20:50:14 PDT,1585972214387,1,set_1,25,6,A little,Quite a bit,A little,Moderately,Quite a bit,Not at all,A little,Not at all,A little,Very much so,Quite a bit,A little,Not at all,Quite a bit,No,No,0,Very much so,Definitely will,Sort of,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
dimnesscranialunheard@timestudy_com/2020-04-04/phone_promptresponse_clean_2020-04-04.csv,23,dimnesscranialunheard,Daily,BURST,RANDOM,22,23,2020-04-04,2020-04-04 22:23:00 PDT,GMT-07:00,1586064180054,Completed,2020-04-04,2020-04-04 22:25:18 PDT,1586064318919,1,set_1,25,6,Not at all,Quite a bit,A little,Moderately,Quite a bit,A little,Not at all,A little,Not at all,Moderately,Quite a bit,A little,Not at all,Quite a bit,No,Did not have to work today,0,Very much so,Definitely will,Not really,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
dimnesscranialunheard@timestudy_com/2020-04-05/phone_promptresponse_clean_2020-04-05.csv,23,dimnesscranialunheard,Daily,BURST,RANDOM,23,0,2020-04-05,2020-04-05 23:11:00 PDT,GMT-07:00,1586153460083,Completed,2020-04-05,2020-04-05 23:19:34 PDT,1586153974931,2,set_2,30,6,Not at all,Quite a bit,A little,Quite a bit,Quite a bit,A little,Not at all,Not at all,Not at all,Quite a bit,Moderately,A little,A little,Quite a bit,No,Did not have to work today,0,,,,,Sort of,No and I didn't have a goal,No,No,No,,,,Quite a bit,Probably will not,Trying to decide,,,,,,,,,,,,,,,
dimnesscranialunheard@timestudy_com/2020-04-06/phone_promptresponse_clean_2020-04-06.csv,22,dimnesscranialunheard,Daily,TIME,RANDOM,21,22,2020-04-06,2020-04-06 21:14:00 PDT,GMT-07:00,1586232840137,Completed,2020-04-06,2020-04-06 21:16:46 PDT,1586233006990,1,set_3,22,6,Not at all,Quite a bit,A little,Moderately,Moderately,Not at all,A little,A little,Not at all,Quite a bit,Quite a bit,A little,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,Quite a bit,,,,,,,,,,,,,,
