.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x34_affmot_eat,x35_int_eat,x37_plan_eat,x55_engage,x30_affmot_sed,x31_int_sed,x32_plan_sed
dissuadecelestialrelic@timestudy_com/2020-12-18/phone_promptresponse_clean_2020-12-18.csv,1,dissuadecelestialrelic,Daily,BURST,RANDOM,0,1,2020-12-18,2020-12-18 00:48:00 PST,GMT-08:00,1608281280088,Completed,2020-12-18,2020-12-18 00:52:27 PST,1608281547171,1,set_2,23,9,Not at all,Extremely,Not at all,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,Quite a bit,Definitely will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic@timestudy_com/2020-12-19/phone_promptresponse_clean_2020-12-19.csv,1,dissuadecelestialrelic,Daily,BURST,RANDOM,0,1,2020-12-19,2020-12-19 00:15:00 PST,GMT-08:00,1608365700127,Completed,2020-12-19,2020-12-19 00:17:07 PST,1608365827225,1,set_1,24,9,Not at all,Extremely,Not at all,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,Quite a bit,Probably will,Sort of,Maybe,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic@timestudy_com/2020-12-19/phone_promptresponse_clean_2020-12-19.csv,23,dissuadecelestialrelic,Daily,BURST,RANDOM,23,0,2020-12-19,2020-12-19 23:36:00 PST,GMT-08:00,1608449760155,Completed,2020-12-19,2020-12-19 23:39:07 PST,1608449947103,1,set_2,23,9,Not at all,Extremely,Not at all,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,Quite a bit,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic@timestudy_com/2020-12-21/phone_promptresponse_clean_2020-12-21.csv,1,dissuadecelestialrelic,Daily,BURST,RANDOM,0,1,2020-12-21,2020-12-21 00:40:00 PST,GMT-08:00,1608540000137,Completed,2020-12-21,2020-12-21 00:47:10 PST,1608540430664,2,set_2,47,9,Not at all,Extremely,A little,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,Very much so,Definitely will,Yes,,,,,Sort of,No and I didn't have a goal,Yes,Yes,Not really,Sort of,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,A lot more,Less,Less,Extremely,Extremely,,,,,,,
dissuadecelestialrelic@timestudy_com/2020-12-21/phone_promptresponse_clean_2020-12-21.csv,29,dissuadecelestialrelic,Daily,TIME,RANDOM,23,0,2020-12-21,2020-12-21 23:35:00 PST,GMT-08:00,1608622500102,Completed,2020-12-21,2020-12-21 23:36:48 PST,1608622608301,1,set_4,24,9,Not at all,Extremely,Not at all,Quite a bit,Extremely,Not at all,A little,A little,Not at all,Quite a bit,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Probably will,No,Not at all,,,
dissuadecelestialrelic@timestudy_com/2020-12-22/phone_promptresponse_clean_2020-12-22.csv,23,dissuadecelestialrelic,Daily,TIME,RANDOM,23,0,2020-12-22,2020-12-22 23:35:00 PST,GMT-08:00,1608708900139,Completed,2020-12-22,2020-12-22 23:37:35 PST,1608709055293,1,set_1,24,9,A little,Quite a bit,Not at all,Moderately,Moderately,Not at all,Moderately,A little,A little,Moderately,Very much so,Not at all,A little,Not at all,No,Did not have to work today,0,,,,A little,Might,Not really,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic@timestudy_com/2020-12-24/phone_promptresponse_clean_2020-12-24.csv,1,dissuadecelestialrelic,Daily,TIME,RANDOM,0,1,2020-12-24,2020-12-24 00:31:00 PST,GMT-08:00,1608798660158,Completed,2020-12-24,2020-12-24 00:32:57 PST,1608798777790,1,set_3,23,9,Not at all,Quite a bit,Not at all,Quite a bit,Moderately,A little,Moderately,A little,A little,Quite a bit,Very much so,Not at all,Moderately,Not at all,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Not really
dissuadecelestialrelic@timestudy_com/2020-12-25/phone_promptresponse_clean_2020-12-25.csv,1,dissuadecelestialrelic,Daily,TIME,RANDOM,0,1,2020-12-25,2020-12-25 00:45:00 PST,GMT-08:00,1608885900149,Completed,2020-12-25,2020-12-25 00:47:21 PST,1608886041636,1,set_2,23,9,A little,Quite a bit,Not at all,Moderately,Not at all,Moderately,Quite a bit,Moderately,A little,A little,Very much so,Not at all,Moderately,Not at all,No,Did not have to work today,0,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
dissuadecelestialrelic@timestudy_com/2020-12-26/phone_promptresponse_clean_2020-12-26.csv,1,dissuadecelestialrelic,Daily,TIME,RANDOM,0,1,2020-12-26,2020-12-26 00:32:00 PST,GMT-08:00,1608971520178,Completed,2020-12-26,2020-12-26 00:35:43 PST,1608971743727,1,set_1,25,9,Not at all,Extremely,Not at all,Quite a bit,Extremely,Not at all,A little,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,Quite a bit,Might,No,but I had a goal,,,,,,,,,,,,,,,,,,,,Not at all,,,
dissuadecelestialrelic@timestudy_com/2020-12-27/phone_promptresponse_clean_2020-12-27.csv,1,dissuadecelestialrelic,Daily,TIME,RANDOM,0,1,2020-12-27,2020-12-27 00:44:00 PST,GMT-08:00,1609058640159,Completed,2020-12-27,2020-12-27 00:50:18 PST,1609059018361,2,set_1,48,9,Not at all,Extremely,Not at all,Quite a bit,Extremely,Not at all,Not at all,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,Quite a bit,Might,No,but I had a goal,Not really,Maybe,Yes,Maybe,Sort of,No,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,More,A lot more,Less,Extremely,Extremely,,,,,,,
