.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x34_affmot_eat,x35_int_eat,x36_goal_eat,x37_plan_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x30_affmot_sed,x31_int_sed,x32_plan_sed,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x55_engage
doorpostthesisjubilance@timestudy_com/2020-10-31/phone_promptresponse_clean_2020-10-31.csv,4,doorpostthesisjubilance,Daily,TIME,RANDOM,19,20,2020-10-31,2020-10-31 19:30:00 PDT,GMT-07:00,1604197800137,Completed,2020-10-31,2020-10-31 19:32:23 PDT,1604197943648,1,set_1,24,9,A little,Moderately,Quite a bit,A little,Moderately,Not at all,Quite a bit,Moderately,A little,A little,A little,Very much so,Quite a bit,Moderately,No,No,0,Not at all,Might,Not really,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-11-01/phone_promptresponse_clean_2020-11-01.csv,23,doorpostthesisjubilance,Daily,TIME,RANDOM,19,20,2020-11-01,2020-11-01 19:43:00 PST,GMT-08:00,1604288580147,Completed,2020-11-01,2020-11-01 19:52:06 PST,1604289126345,2,set_4,47,9,A little,Moderately,A little,A little,A little,Not at all,A little,A little,A little,A little,A little,Not at all,A little,A little,No,Yes,0,,,,,Not really,Yes,Sort of,Maybe,Not really,A little,Might,No,Not really,A little,A little,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Moderate,Very little,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-11-02/phone_promptresponse_clean_2020-11-02.csv,21,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-11-02,2020-11-02 20:24:00 PST,GMT-08:00,1604377440145,Completed,2020-11-02,2020-11-02 20:26:03 PST,1604377563381,1,set_3,23,9,Not at all,Moderately,Moderately,A little,Quite a bit,Not at all,Moderately,A little,A little,A little,A little,A little,A little,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,A little,Might,Not really,,,,
doorpostthesisjubilance@timestudy_com/2020-11-03/phone_promptresponse_clean_2020-11-03.csv,21,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-11-03,2020-11-03 20:12:00 PST,GMT-08:00,1604463120144,Completed,2020-11-03,2020-11-03 20:15:33 PST,1604463333634,1,set_2,23,9,Not at all,Moderately,A little,A little,A little,Not at all,A little,Moderately,A little,A little,A little,Quite a bit,Moderately,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Trying to decide,
doorpostthesisjubilance@timestudy_com/2020-11-04/phone_promptresponse_clean_2020-11-04.csv,20,doorpostthesisjubilance,Daily,TIME,RANDOM,19,20,2020-11-04,2020-11-04 19:15:00 PST,GMT-08:00,1604546100237,Completed,2020-11-04,2020-11-04 19:17:00 PST,1604546220297,1,set_4,23,9,A little,Extremely,Not at all,Quite a bit,Quite a bit,Not at all,A little,Not at all,A little,Moderately,Not at all,Moderately,A little,A little,No,Yes,0,,,,,,,,,,Quite a bit,Definitely will,,Sort of,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-11-05/phone_promptresponse_clean_2020-11-05.csv,17,doorpostthesisjubilance,Daily,TIME,RANDOM,19,20,2020-11-05,2020-11-05 19:28:00 PST,GMT-08:00,1604633280161,Completed,2020-11-05,2020-11-05 19:32:02 PST,1604633522529,1,set_1,24,9,A little,Extremely,A little,A little,A little,Not at all,Not at all,Not at all,Not at all,A little,Moderately,A little,Not at all,Moderately,No,Yes,0,Not at all,Might,Not really,Maybe,,,,,,,,,,,,,,,,,,,,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-11-06/phone_promptresponse_clean_2020-11-06.csv,19,doorpostthesisjubilance,Daily,TIME,RANDOM,19,20,2020-11-06,2020-11-06 19:36:00 PST,GMT-08:00,1604720160195,Completed,2020-11-06,2020-11-06 19:37:46 PST,1604720266833,1,set_2,23,9,A little,Moderately,Quite a bit,Moderately,Moderately,A little,A little,Moderately,A little,A little,A little,Not at all,Not at all,A little,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Probably will,Yes,
doorpostthesisjubilance@timestudy_com/2020-11-07/phone_promptresponse_clean_2020-11-07.csv,23,doorpostthesisjubilance,Daily,TIME,RANDOM,19,20,2020-11-07,2020-11-07 19:35:00 PST,GMT-08:00,1604806500125,Completed,2020-11-07,2020-11-07 19:37:31 PST,1604806651243,1,set_2,23,9,A little,Extremely,A little,Moderately,Quite a bit,Not at all,Not at all,A little,Quite a bit,Moderately,A little,Moderately,A little,A little,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Very much so,Probably will,Yes,
doorpostthesisjubilance@timestudy_com/2020-11-08/phone_promptresponse_clean_2020-11-08.csv,23,doorpostthesisjubilance,Daily,TIME,RANDOM,20,21,2020-11-08,2020-11-08 20:28:00 PST,GMT-08:00,1604896080132,Completed,2020-11-08,2020-11-08 20:34:21 PST,1604896461878,2,set_4,47,9,Moderately,A little,Moderately,A little,Quite a bit,A little,A little,Moderately,A little,A little,A little,A little,A little,Moderately,No,No,0,,,,,Yes,Yes,Sort of,Yes,Sort of,Quite a bit,Probably will,Not really,Sort of,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Less,Neither more nor less,Moderate,Quite a bit,,,,,,,
doorpostthesisjubilance@timestudy_com/2020-11-09/phone_promptresponse_clean_2020-11-09.csv,23,doorpostthesisjubilance,Daily,BURST,RANDOM,20,21,2020-11-09,2020-11-09 20:44:00 PST,GMT-08:00,1604983440105,NeverStarted,,,,,set_4,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
