.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x30_affmot_sed,x31_int_sed,x32_plan_sed,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x55_engage,x34_affmot_eat,x35_int_eat,x37_plan_eat,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa
evasiongalorebath@timestudy_com/2020-11-16/phone_promptresponse_clean_2020-11-16.csv,10,evasiongalorebath,Daily,TIME,RANDOM,22,23,2020-11-16,2020-11-16 22:31:00 CST,GMT-06:00,1605587460133,Completed,2020-11-16,2020-11-16 22:34:48 CST,1605587688565,1,set_3,23,9,Not at all,Moderately,Moderately,Quite a bit,Moderately,A little,Quite a bit,Moderately,A little,Moderately,Moderately,Quite a bit,Quite a bit,Moderately,No,No,0,Not at all,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
evasiongalorebath@timestudy_com/2020-11-17/phone_promptresponse_clean_2020-11-17.csv,46,evasiongalorebath,Daily,TIME,RANDOM,22,23,2020-11-17,2020-11-17 22:25:00 CST,GMT-06:00,1605673500180,Completed,2020-11-17,2020-11-17 22:26:29 CST,1605673589623,1,set_2,24,9,A little,Moderately,Moderately,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,Not at all,Moderately,A little,Quite a bit,Quite a bit,Moderately,No,No,0,,,,Not at all,Probably will,No,A little bit,,,,,,,,,,,,,,,,,,,,,,,
evasiongalorebath@timestudy_com/2020-11-19/phone_promptresponse_clean_2020-11-19.csv,1,evasiongalorebath,Daily,TIME,RANDOM,0,1,2020-11-19,2020-11-19 00:31:00 CST,GMT-06:00,1605767460117,Completed,2020-11-19,2020-11-19 00:32:12 CST,1605767532220,1,set_4,23,9,Not at all,Moderately,Quite a bit,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Quite a bit,Moderately,Quite a bit,Quite a bit,No,No,0,,,,,,,,Very much so,Definitely will,Sort of,,,,,,,,,,,,,,,,,,,,
evasiongalorebath@timestudy_com/2020-11-20/phone_promptresponse_clean_2020-11-20.csv,1,evasiongalorebath,Daily,TIME,RANDOM,0,1,2020-11-20,2020-11-20 00:24:00 CST,GMT-06:00,1605853440141,Completed,2020-11-20,2020-11-20 00:25:19 CST,1605853519952,1,set_3,23,9,Not at all,Not at all,Not at all,Moderately,Moderately,Moderately,Quite a bit,Moderately,Moderately,Moderately,Moderately,Quite a bit,Moderately,Moderately,No,No,0,A little,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
evasiongalorebath@timestudy_com/2020-11-21/phone_promptresponse_clean_2020-11-21.csv,1,evasiongalorebath,Daily,TIME,RANDOM,0,1,2020-11-21,2020-11-21 00:18:00 CST,GMT-06:00,1605939480211,Completed,2020-11-21,2020-11-21 01:31:52 CST,1605943912013,2,set_4,23,9,A little,Quite a bit,Moderately,Moderately,Moderately,Moderately,Moderately,A little,Quite a bit,Moderately,A little,Moderately,Quite a bit,Quite a bit,No,No,0,,,,,,,,Quite a bit,Probably will,Yes,,,,,,,,,,,,,,,,,,,,
evasiongalorebath@timestudy_com/2020-11-22/phone_promptresponse_clean_2020-11-22.csv,2,evasiongalorebath,Daily,BURST,RANDOM,1,2,2020-11-22,2020-11-22 01:46:00 CST,GMT-06:00,1606031160203,Completed,2020-11-22,2020-11-22 01:49:50 CST,1606031390366,1,set_2,47,9,Moderately,Moderately,A little,Moderately,Quite a bit,Moderately,Quite a bit,Quite a bit,A little,Moderately,Quite a bit,Very much so,Quite a bit,Moderately,No,Did not have to work today,0,,,,Not at all,Definitely will,Trying to decide,,,,,Yes,Yes,Yes,Maybe,Sort of,Yes,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Very little,Not at all,,,,
evasiongalorebath@timestudy_com/2020-11-23/phone_promptresponse_clean_2020-11-23.csv,1,evasiongalorebath,Daily,BURST,RANDOM,22,23,2020-11-22,2020-11-22 22:16:00 CST,GMT-06:00,1606104960152,NeverStarted,,,,,set_4,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evasiongalorebath@timestudy_com/2020-11-24/phone_promptresponse_clean_2020-11-24.csv,1,evasiongalorebath,Daily,BURST,RANDOM,22,23,2020-11-23,2020-11-23 22:49:00 CST,GMT-06:00,1606193340168,NeverStarted,,,,,set_2,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evasiongalorebath@timestudy_com/2020-11-24/phone_promptresponse_clean_2020-11-24.csv,25,evasiongalorebath,Daily,BURST,RANDOM,22,23,2020-11-24,2020-11-24 22:35:00 CST,GMT-06:00,1606278900159,Completed,2020-11-24,2020-11-24 23:32:03 CST,1606282323428,2,set_2,23,9,Not at all,Moderately,Not at all,Moderately,Quite a bit,Not at all,Moderately,Moderately,Not at all,Quite a bit,Moderately,Moderately,Quite a bit,Moderately,No,Did not have to work today,0,,,,Quite a bit,Probably will not,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,
evasiongalorebath@timestudy_com/2020-11-25/phone_promptresponse_clean_2020-11-25.csv,22,evasiongalorebath,Daily,TIME,RANDOM,22,23,2020-11-25,2020-11-25 22:39:00 CST,GMT-06:00,1606365540118,Completed,2020-11-25,2020-11-25 23:36:51 CST,1606369011733,2,set_4,25,9,Not at all,Moderately,Not at all,Quite a bit,Moderately,Not at all,Not at all,Not at all,Not at all,Quite a bit,A little,Moderately,Quite a bit,Moderately,No,Did not have to work today,0,,,,,,,,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,
evasiongalorebath@timestudy_com/2020-11-27/phone_promptresponse_clean_2020-11-27.csv,1,evasiongalorebath,Daily,TIME,RANDOM,0,1,2020-11-27,2020-11-27 00:38:00 CST,GMT-06:00,1606459080178,NeverStarted,,,,,set_1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evasiongalorebath@timestudy_com/2020-11-28/phone_promptresponse_clean_2020-11-28.csv,2,evasiongalorebath,Daily,TIME,RANDOM,1,2,2020-11-28,2020-11-28 01:29:00 CST,GMT-06:00,1606548540177,Completed,2020-11-28,2020-11-28 01:55:49 CST,1606550149075,2,set_2,23,9,Not at all,Moderately,Moderately,Quite a bit,Moderately,Not at all,Moderately,A little,Not at all,Quite a bit,Moderately,Very much so,Quite a bit,Moderately,No,Did not have to work today,0,,,,A little,Might,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,
