.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x30_affmot_sed,x31_int_sed,x32_plan_sed,x55_engage,x34_affmot_eat,x35_int_eat,x37_plan_eat,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa
lardcapablemud@timestudy_com/2020-09-29/phone_promptresponse_clean_2020-09-29.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-09-29,2020-09-29 00:25:00 PDT,GMT-07:00,1601364300107,Completed,2020-09-29,2020-09-29 00:58:34 PDT,1601366314044,2,set_2,23,9,Not at all,Moderately,A little,A little,Extremely,Moderately,Moderately,Not at all,A little,Not at all,Quite a bit,A little,Moderately,Quite a bit,No,No,0,A little,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-09-30/phone_promptresponse_clean_2020-09-30.csv,2,lardcapablemud,Daily,TIME,RANDOM,1,2,2020-09-30,2020-09-30 01:42:00 PDT,GMT-07:00,1601455320143,Completed,2020-09-30,2020-09-30 01:43:24 PDT,1601455404500,1,set_3,23,9,Not at all,A little,A little,Not at all,Quite a bit,Moderately,Moderately,Not at all,A little,Not at all,Not at all,Moderately,Quite a bit,Quite a bit,No,No,0,,,,Not at all,Definitely will not,No,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-09-30/phone_promptresponse_clean_2020-09-30.csv,24,lardcapablemud,Daily,TIME,RANDOM,23,0,2020-09-30,2020-09-30 23:36:00 PDT,GMT-07:00,1601534160113,Completed,2020-09-30,2020-09-30 23:37:27 PDT,1601534247502,1,set_3,23,9,Moderately,Moderately,Moderately,A little,Moderately,Quite a bit,Quite a bit,A little,Quite a bit,Not at all,Not at all,A little,Moderately,Quite a bit,No,No,0,,,,Not at all,Definitely will not,No,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-02/phone_promptresponse_clean_2020-10-02.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-10-02,2020-10-02 00:49:00 PDT,GMT-07:00,1601624940178,Completed,2020-10-02,2020-10-02 00:50:23 PDT,1601625023464,1,set_2,24,9,A little,A little,Moderately,Not at all,Moderately,A little,Moderately,Not at all,A little,Not at all,A little,Quite a bit,Moderately,Quite a bit,No,No,0,Quite a bit,Might,Yes,,,,Not at all,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-03/phone_promptresponse_clean_2020-10-03.csv,2,lardcapablemud,Daily,BURST,RANDOM,0,1,2020-10-03,2020-10-03 00:37:00 PDT,GMT-07:00,1601710620097,Completed,2020-10-03,2020-10-03 01:48:31 PDT,1601714911175,2,set_4,23,9,Not at all,Moderately,Not at all,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Quite a bit,Not at all,Moderately,A little,A little,No,No,0,,,,,,,,A little,Probably will not,No,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-04/phone_promptresponse_clean_2020-10-04.csv,2,lardcapablemud,Daily,BURST,RANDOM,1,2,2020-10-04,2020-10-04 01:24:00 PDT,GMT-07:00,1601799840099,Completed,2020-10-04,2020-10-04 01:28:16 PDT,1601800096358,1,set_3,47,9,Not at all,A little,Moderately,A little,Quite a bit,A little,A little,A little,Not at all,Moderately,Not at all,Moderately,Moderately,Moderately,No,No,0,,,,Not at all,Definitely will not,No,,,,,No,No,No,but had a goal,No,No,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,A lot more,Neither more nor less,Neither more nor less,Moderate,Not at all,,,,
lardcapablemud@timestudy_com/2020-10-05/phone_promptresponse_clean_2020-10-05.csv,1,lardcapablemud,Daily,BURST,RANDOM,0,1,2020-10-05,2020-10-05 00:45:00 PDT,GMT-07:00,1601883900099,Completed,2020-10-05,2020-10-05 00:48:15 PDT,1601884095245,1,set_2,47,9,Not at all,Quite a bit,Moderately,A little,Quite a bit,Not at all,Not at all,A little,A little,Moderately,Moderately,Moderately,Moderately,Quite a bit,No,No,0,Not at all,Probably will,No,,,,,,,,Sort of,Maybe,No,No,No,Not really,A little,A little,I am not experiencing viral symptoms,0 days,0 days,More,Neither more nor less,Neither more nor less,Moderate,Not at all,,,,
lardcapablemud@timestudy_com/2020-10-06/phone_promptresponse_clean_2020-10-06.csv,1,lardcapablemud,Daily,BURST,RANDOM,0,1,2020-10-06,2020-10-06 00:25:00 PDT,GMT-07:00,1601969100107,Completed,2020-10-06,2020-10-06 00:30:55 PDT,1601969455390,2,set_3,23,9,A little,Moderately,Moderately,Moderately,Quite a bit,A little,Moderately,Moderately,Not at all,Moderately,Moderately,A little,A little,Quite a bit,No,No,0,,,,Not at all,Definitely will not,No,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-07/phone_promptresponse_clean_2020-10-07.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-10-07,2020-10-07 00:24:00 PDT,GMT-07:00,1602055440132,Completed,2020-10-07,2020-10-07 00:27:17 PDT,1602055637526,1,set_2,23,9,A little,Moderately,A little,Moderately,Quite a bit,A little,Moderately,A little,Not at all,Moderately,Moderately,Moderately,A little,Quite a bit,No,No,0,A little,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-08/phone_promptresponse_clean_2020-10-08.csv,1,lardcapablemud,Daily,TIME,RANDOM,23,0,2020-10-07,2020-10-07 23:46:00 PDT,GMT-07:00,1602139560122,Completed,2020-10-08,2020-10-08 00:11:20 PDT,1602141080451,2,set_2,23,9,Not at all,Moderately,Not at all,Moderately,A little,Moderately,Moderately,A little,Not at all,Moderately,Moderately,Moderately,A little,Moderately,No,No,0,Very much so,Probably will not,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-08/phone_promptresponse_clean_2020-10-08.csv,25,lardcapablemud,Daily,TIME,RANDOM,23,0,2020-10-08,2020-10-08 23:40:00 PDT,GMT-07:00,1602225600100,Completed,2020-10-08,2020-10-08 23:43:37 PDT,1602225817843,1,set_3,23,9,Moderately,A little,Moderately,Not at all,A little,Quite a bit,Quite a bit,Extremely,Quite a bit,Quite a bit,Quite a bit,A little,A little,Moderately,No,No,0,,,,Not at all,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-10/phone_promptresponse_clean_2020-10-10.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-10-10,2020-10-10 00:36:00 PDT,GMT-07:00,1602315360095,Completed,2020-10-10,2020-10-10 01:48:08 PDT,1602319688007,2,set_3,23,9,A little,Quite a bit,A little,Quite a bit,Quite a bit,Moderately,Moderately,Moderately,A little,Quite a bit,Quite a bit,A little,Not at all,Moderately,No,No,0,,,,A little,Might,Not really,,,,,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-11/phone_promptresponse_clean_2020-10-11.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-10-11,2020-10-11 00:41:00 PDT,GMT-07:00,1602402060099,Completed,2020-10-11,2020-10-11 00:44:37 PDT,1602402277831,1,set_1,49,9,Not at all,Quite a bit,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,A little,Very much so,Not at all,Not at all,Not at all,No,No,0,,,,,,,Not at all,,,,No,No and I didn't have a goal,Sort of,but had a goal,No,Not really,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,A lot less,More,Neither more nor less,Very little,Very little,A little,Might,Sort of,but I had a goal
lardcapablemud@timestudy_com/2020-10-12/phone_promptresponse_clean_2020-10-12.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-10-12,2020-10-12 00:32:00 PDT,GMT-07:00,1602487920079,Completed,2020-10-12,2020-10-12 00:35:16 PDT,1602488116752,1,set_4,47,9,Not at all,Quite a bit,A little,Moderately,Moderately,Not at all,A little,Not at all,Not at all,Quite a bit,A little,Moderately,Not at all,A little,No,No,0,,,,,,,,Quite a bit,Might,Not really,No,No and I didn't have a goal,No,but had a goal,No,No,A little,A little,I am not experiencing viral symptoms,0 days,0 days,Less,Neither more nor less,Neither more nor less,Moderate,Not at all,,,,
lardcapablemud@timestudy_com/2020-10-12/phone_promptresponse_clean_2020-10-12.csv,24,lardcapablemud,Daily,TIME,RANDOM,23,0,2020-10-12,2020-10-12 23:41:00 PDT,GMT-07:00,1602571260116,Completed,2020-10-12,2020-10-12 23:47:54 PDT,1602571674387,2,set_4,23,9,A little,Moderately,A little,A little,Moderately,A little,Moderately,A little,A little,A little,A little,Quite a bit,Not at all,Quite a bit,No,No,0,,,,,,,,A little,Probably will not,No,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-14/phone_promptresponse_clean_2020-10-14.csv,2,lardcapablemud,Daily,TIME,RANDOM,1,2,2020-10-14,2020-10-14 01:41:00 PDT,GMT-07:00,1602664860058,Completed,2020-10-14,2020-10-14 01:42:59 PDT,1602664979596,1,set_4,23,9,A little,Moderately,A little,A little,Quite a bit,A little,Moderately,Moderately,A little,Quite a bit,A little,Moderately,A little,Moderately,No,No,0,,,,,,,,A little,Probably will not,No,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-15/phone_promptresponse_clean_2020-10-15.csv,1,lardcapablemud,Daily,TIME,RANDOM,0,1,2020-10-15,2020-10-15 00:42:00 PDT,GMT-07:00,1602747720103,Completed,2020-10-15,2020-10-15 00:43:15 PDT,1602747795106,1,set_4,23,9,A little,Quite a bit,A little,Moderately,Quite a bit,A little,Not at all,Moderately,A little,Quite a bit,A little,Moderately,Not at all,Quite a bit,No,No,0,,,,,,,,A little,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,
lardcapablemud@timestudy_com/2020-10-15/phone_promptresponse_clean_2020-10-15.csv,24,lardcapablemud,Daily,TIME,RANDOM,23,0,2020-10-15,2020-10-15 23:41:00 PDT,GMT-07:00,1602830460082,Completed,2020-10-15,2020-10-15 23:43:12 PDT,1602830592855,1,set_1,25,9,A little,Moderately,A little,Moderately,Quite a bit,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Quite a bit,Quite a bit,Quite a bit,No,No,0,,,,,,,Not at all,,,,,,,,,,,,,,,,,,,,Not at all,Probably will not,Not really,but I had a goal
lardcapablemud@timestudy_com/2020-10-17/phone_promptresponse_clean_2020-10-17.csv,2,lardcapablemud,Daily,TIME,RANDOM,1,2,2020-10-17,2020-10-17 01:43:00 PDT,GMT-07:00,1602924180155,Completed,2020-10-17,2020-10-17 01:49:13 PDT,1602924553515,2,set_2,24,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,A little,Quite a bit,Moderately,Moderately,A little,Quite a bit,No,No,0,Very much so,Might,Trying to decide,,,,A little bit,,,,,,,,,,,,,,,,,,,,,,,
