.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x34_affmot_eat,x35_int_eat,x37_plan_eat,x55_engage,x30_affmot_sed,x31_int_sed,x32_plan_sed,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa
massagerresidencyenlarging@timestudy_com/2020-12-01/phone_promptresponse_clean_2020-12-01.csv,1,massagerresidencyenlarging,Daily,TIME,RANDOM,0,1,2020-12-01,2020-12-01 00:20:00 PST,GMT-08:00,1606810800399,Completed,2020-12-01,2020-12-01 00:22:33 PST,1606810953866,1,set_2,23,9,A little,Moderately,A little,A little,Moderately,A little,Moderately,A little,Not at all,A little,Moderately,Moderately,A little,Moderately,No,Yes,0,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-02/phone_promptresponse_clean_2020-12-02.csv,1,massagerresidencyenlarging,Daily,TIME,RANDOM,0,1,2020-12-02,2020-12-02 00:14:00 PST,GMT-08:00,1606896840275,Completed,2020-12-02,2020-12-02 00:16:09 PST,1606896969868,1,set_2,23,9,Quite a bit,Moderately,A little,A little,A little,Moderately,Quite a bit,Quite a bit,Moderately,A little,A little,A little,Moderately,Very much so,No,No,0,Very much so,Might,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-03/phone_promptresponse_clean_2020-12-03.csv,1,massagerresidencyenlarging,Daily,TIME,RANDOM,0,1,2020-12-03,2020-12-03 00:17:00 PST,GMT-08:00,1606983420408,Completed,2020-12-03,2020-12-03 00:23:38 PST,1606983818989,2,set_4,23,9,Extremely,Moderately,Not at all,A little,A little,Moderately,Moderately,Quite a bit,A little,Moderately,A little,A little,Moderately,Moderately,No,No,0,,,,A little,Probably will,Not really,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-04/phone_promptresponse_clean_2020-12-04.csv,2,massagerresidencyenlarging,Daily,TIME,RANDOM,0,1,2020-12-04,2020-12-04 00:28:00 PST,GMT-08:00,1607070480361,Completed,2020-12-04,2020-12-04 00:43:57 PST,1607071437762,2,set_2,24,9,Not at all,Moderately,A little,Moderately,Moderately,Not at all,A little,A little,Not at all,Quite a bit,A little,Not at all,A little,Moderately,No,No,0,Quite a bit,Probably will not,Trying to decide,,,,A little bit,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-05/phone_promptresponse_clean_2020-12-05.csv,1,massagerresidencyenlarging,Daily,TIME,RANDOM,0,1,2020-12-05,2020-12-05 00:19:00 PST,GMT-08:00,1607156340386,Completed,2020-12-05,2020-12-05 00:21:25 PST,1607156485163,1,set_3,23,9,A little,Quite a bit,Moderately,Moderately,A little,A little,A little,Not at all,Moderately,A little,A little,Not at all,A little,Quite a bit,No,No,0,,,,,,,,A little,Definitely will not,Not really,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-06/phone_promptresponse_clean_2020-12-06.csv,1,massagerresidencyenlarging,Daily,BURST,RANDOM,0,1,2020-12-06,2020-12-06 00:36:00 PST,GMT-08:00,1607243760329,Completed,2020-12-06,2020-12-06 00:41:49 PST,1607244109457,2,set_3,47,9,A little,Quite a bit,A little,Moderately,Quite a bit,A little,Moderately,Quite a bit,Moderately,Moderately,A little,Moderately,Not at all,Quite a bit,No,No,0,,,,,,,,Not at all,Definitely will not,No,Yes,Maybe,Sort of,No,No,No,A little,Moderately,I am not experiencing viral symptoms,0 days,0 days,A lot less,A lot more,Neither more nor less,Very little,Very little,,,,
massagerresidencyenlarging@timestudy_com/2020-12-07/phone_promptresponse_clean_2020-12-07.csv,2,massagerresidencyenlarging,Daily,BURST,RANDOM,1,2,2020-12-07,2020-12-07 01:38:00 PST,GMT-08:00,1607333880374,Completed,2020-12-07,2020-12-07 01:42:12 PST,1607334132030,1,set_3,48,9,A little,A little,Moderately,Moderately,A little,A little,A little,Moderately,A little,Not at all,Moderately,Very much so,A little,A little,No,No,0,,,,,,,Somewhat,Not at all,Definitely will not,Not really,Sort of,Maybe,Sort of,Maybe,No,Sort of,Quite a bit,A little,I am not experiencing viral symptoms,0 days,0 days,A lot more,A lot more,More,Moderate,Very little,,,,
massagerresidencyenlarging@timestudy_com/2020-12-08/phone_promptresponse_clean_2020-12-08.csv,1,massagerresidencyenlarging,Daily,BURST,RANDOM,0,1,2020-12-08,2020-12-08 00:33:00 PST,GMT-08:00,1607416380291,Completed,2020-12-08,2020-12-08 00:39:47 PST,1607416787295,2,set_4,23,9,A little,A little,Quite a bit,Not at all,A little,A little,A little,Moderately,A little,A little,A little,Quite a bit,A little,A little,No,No,0,,,,A little,Probably will,Not really,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-11/phone_promptresponse_clean_2020-12-11.csv,1,massagerresidencyenlarging,Daily,TIME,RANDOM,0,1,2020-12-11,2020-12-11 00:21:00 PST,GMT-08:00,1607674860304,Completed,2020-12-11,2020-12-11 00:23:36 PST,1607675016861,1,set_2,23,9,A little,Moderately,A little,A little,Not at all,A little,A little,A little,A little,Not at all,Not at all,A little,A little,Quite a bit,No,No,0,A little,Might,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,,,,
massagerresidencyenlarging@timestudy_com/2020-12-13/phone_promptresponse_clean_2020-12-13.csv,3,massagerresidencyenlarging,Daily,TIME,RANDOM,2,3,2020-12-13,2020-12-13 02:34:00 PST,GMT-08:00,1607855640338,Completed,2020-12-13,2020-12-13 02:38:13 PST,1607855893533,1,set_3,47,9,Not at all,A little,Moderately,A little,Not at all,Moderately,Moderately,A little,Moderately,A little,A little,A little,Moderately,Quite a bit,No,No,0,,,,,,,,Not at all,Definitely will not,Not really,Sort of,Maybe,Not really,Maybe,Not really,Sort of,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,More,A lot more,More,Very little,Very little,,,,
