.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x30_affmot_sed,x31_int_sed,x32_plan_sed,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x55_engage,x19_affmot_pa,x20_int_pa,x21_goal_pa,x22_plan_pa,x23_dgoal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x34_affmot_eat,x35_int_eat,x37_plan_eat
mountainseclusionchaffing@timestudy_com/2021-04-20/phone_promptresponse_clean_2021-04-20.csv,8,mountainseclusionchaffing,Daily,TIME,RANDOM,19,20,2021-04-20,2021-04-20 19:39:00 MDT,GMT-06:00,1618969140158,Completed,2021-04-20,2021-04-20 20:14:46 MDT,1618971286482,2,set_3,23,9,Not at all,Quite a bit,Moderately,Moderately,A little,A little,A little,A little,Not at all,A little,Quite a bit,Moderately,Moderately,Moderately,No,No,0,A little,Might,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
mountainseclusionchaffing@timestudy_com/2021-04-21/phone_promptresponse_clean_2021-04-21.csv,67,mountainseclusionchaffing,Daily,TIME,RANDOM,20,21,2021-04-21,2021-04-21 20:41:00 MDT,GMT-06:00,1619059260127,Completed,2021-04-21,2021-04-21 21:14:57 MDT,1619061297641,2,set_2,23,9,Quite a bit,Moderately,A little,Moderately,Moderately,Quite a bit,Quite a bit,Extremely,Moderately,A little,Moderately,Moderately,Moderately,Moderately,No,No,0,,,,A little,Probably will,Trying to decide,,,,,,,,,,,,,,,,,,,,,,,,
mountainseclusionchaffing@timestudy_com/2021-04-22/phone_promptresponse_clean_2021-04-22.csv,31,mountainseclusionchaffing,Daily,TIME,RANDOM,20,21,2021-04-22,2021-04-22 20:33:00 MDT,GMT-06:00,1619145180171,Completed,2021-04-22,2021-04-22 20:38:51 MDT,1619145531312,2,set_3,23,9,A little,Quite a bit,A little,Quite a bit,Extremely,A little,A little,A little,A little,Moderately,Moderately,A little,Moderately,Not at all,No,No,0,A little,Might,Not really,,,,,,,,,,,,,,,,,,,,,,,,,,,
mountainseclusionchaffing@timestudy_com/2021-04-23/phone_promptresponse_clean_2021-04-23.csv,46,mountainseclusionchaffing,Daily,TIME,RANDOM,20,21,2021-04-23,2021-04-23 20:46:00 MDT,GMT-06:00,1619232360138,Completed,2021-04-23,2021-04-23 20:47:40 MDT,1619232460529,1,set_3,24,9,A little,Moderately,A little,Moderately,A little,Moderately,Moderately,A little,A little,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,No,No,0,A little,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
mountainseclusionchaffing@timestudy_com/2021-04-24/phone_promptresponse_clean_2021-04-24.csv,21,mountainseclusionchaffing,Daily,BURST,RANDOM,20,21,2021-04-24,2021-04-24 20:35:00 MDT,GMT-06:00,1619318100169,Completed,2021-04-24,2021-04-24 20:40:13 MDT,1619318413988,2,set_3,24,9,A little,Moderately,Quite a bit,Moderately,Moderately,A little,A little,Not at all,Not at all,A little,Very much so,Moderately,A little,Very much so,No,No,0,Quite a bit,Might,Yes,,,,A little bit,,,,,,,,,,,,,,,,,,,,,,,
mountainseclusionchaffing@timestudy_com/2021-04-25/phone_promptresponse_clean_2021-04-25.csv,23,mountainseclusionchaffing,Daily,BURST,RANDOM,22,23,2021-04-25,2021-04-25 22:11:00 MDT,GMT-06:00,1619410260217,Completed,2021-04-25,2021-04-25 22:16:32 MDT,1619410592352,2,set_1,49,9,Not at all,Moderately,Moderately,Moderately,Moderately,Moderately,Quite a bit,Not at all,Not at all,Moderately,Very much so,Quite a bit,Quite a bit,Quite a bit,No,No,0,,,,,,,,Very much so,Definitely will,Sort of,Yes,Yes,Yes,Yes,Maybe,Not really,Sort of,Moderately,A little,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Moderate,Moderate,,,
mountainseclusionchaffing@timestudy_com/2021-04-26/phone_promptresponse_clean_2021-04-26.csv,22,mountainseclusionchaffing,Daily,BURST,RANDOM,20,21,2021-04-26,2021-04-26 20:46:00 MDT,GMT-06:00,1619491560126,Completed,2021-04-26,2021-04-26 20:47:27 MDT,1619491647645,1,set_2,25,9,A little,Quite a bit,Moderately,Moderately,Moderately,A little,Quite a bit,Not at all,Not at all,Moderately,Very much so,Moderately,A little,Moderately,No,No,0,,,,Quite a bit,Probably will,Yes,A little bit,,,,,,,,,,,,,,,,,,,,,,,
mountainseclusionchaffing@timestudy_com/2021-04-27/phone_promptresponse_clean_2021-04-27.csv,21,mountainseclusionchaffing,Daily,BURST,RANDOM,20,21,2021-04-27,2021-04-27 20:23:00 MDT,GMT-06:00,1619576580150,Completed,2021-04-27,2021-04-27 20:26:12 MDT,1619576772531,1,set_3,23,9,Not at all,Moderately,Moderately,Moderately,Moderately,A little,Moderately,A little,Not at all,Moderately,Very much so,Moderately,Moderately,Quite a bit,No,No,0,Quite a bit,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
mountainseclusionchaffing@timestudy_com/2021-04-28/phone_promptresponse_clean_2021-04-28.csv,21,mountainseclusionchaffing,Daily,TIME,RANDOM,20,21,2021-04-28,2021-04-28 20:44:00 MDT,GMT-06:00,1619664240199,Completed,2021-04-28,2021-04-28 20:46:26 MDT,1619664386439,1,set_3,23,9,Not at all,Quite a bit,Moderately,Quite a bit,Moderately,Moderately,Quite a bit,A little,A little,Moderately,Quite a bit,Moderately,Moderately,A little,No,Did not have to work today,0,A little,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
mountainseclusionchaffing@timestudy_com/2021-04-29/phone_promptresponse_clean_2021-04-29.csv,26,mountainseclusionchaffing,Daily,TIME,RANDOM,22,23,2021-04-29,2021-04-29 22:48:00 MDT,GMT-06:00,1619758080085,Completed,2021-04-29,2021-04-29 22:49:08 MDT,1619758148850,1,set_2,23,9,Not at all,Quite a bit,Moderately,Quite a bit,Moderately,A little,Quite a bit,A little,Not at all,Quite a bit,Very much so,Quite a bit,Moderately,A little,No,No,0,,,,Quite a bit,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,,
