.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x30_affmot_sed,x31_int_sed,x32_plan_sed,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x55_engage,x34_affmot_eat,x35_int_eat,x37_plan_eat
mumblingfoundersubsonic@timestudy_com/2021-06-10/phone_promptresponse_clean_2021-06-10.csv,11,mumblingfoundersubsonic,Daily,BURST,RANDOM,22,23,2021-06-10,2021-06-10 22:41:00 CDT,GMT-05:00,1623382860182,Completed,2021-06-10,2021-06-10 22:43:10 CDT,1623382990499,1,set_1,25,9,Moderately,A little,A little,A little,Not at all,Moderately,Quite a bit,Moderately,Quite a bit,A little,A little,Quite a bit,Quite a bit,Moderately,No,No,0,A little,Might,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,
mumblingfoundersubsonic@timestudy_com/2021-06-11/phone_promptresponse_clean_2021-06-11.csv,24,mumblingfoundersubsonic,Daily,BURST,RANDOM,23,0,2021-06-11,2021-06-11 23:19:00 CDT,GMT-05:00,1623471540153,Completed,2021-06-11,2021-06-11 23:20:16 CDT,1623471616485,1,set_2,23,9,Moderately,A little,Moderately,Not at all,A little,Quite a bit,Quite a bit,Moderately,Very much so,A little,A little,Quite a bit,Quite a bit,Quite a bit,No,Did not have to work today,0,,,,,Quite a bit,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,
mumblingfoundersubsonic@timestudy_com/2021-06-12/phone_promptresponse_clean_2021-06-12.csv,23,mumblingfoundersubsonic,Daily,BURST,RANDOM,22,23,2021-06-12,2021-06-12 22:43:00 CDT,GMT-05:00,1623555780146,Completed,2021-06-12,2021-06-12 22:44:35 CDT,1623555875661,1,set_2,24,9,Moderately,A little,A little,Quite a bit,A little,Moderately,Quite a bit,Moderately,Quite a bit,Moderately,A little,Moderately,Quite a bit,Moderately,No,Did not have to work today,0,,,,,Quite a bit,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,
mumblingfoundersubsonic@timestudy_com/2021-06-13/phone_promptresponse_clean_2021-06-13.csv,24,mumblingfoundersubsonic,Daily,BURST,RANDOM,23,0,2021-06-13,2021-06-13 23:19:00 CDT,GMT-05:00,1623644340152,Completed,2021-06-13,2021-06-13 23:23:20 CDT,1623644600577,1,set_3,47,9,Quite a bit,Not at all,A little,Moderately,Not at all,Moderately,Quite a bit,Quite a bit,Quite a bit,A little,A little,Very much so,Quite a bit,Moderately,Yes,Did not have to work today,0,,,,,,,,Not really,No,Sort of,Yes,A little,Might,Not really,Not really,Sort of,Quite a bit,Not at all,I am not experiencing viral symptoms,0 days,3 days,Neither more nor less,More,More,Moderate,Very little,,,,
mumblingfoundersubsonic@timestudy_com/2021-06-14/phone_promptresponse_clean_2021-06-14.csv,23,mumblingfoundersubsonic,Daily,TIME,RANDOM,23,0,2021-06-14,2021-06-14 23:43:00 CDT,GMT-05:00,1623732180182,Completed,2021-06-14,2021-06-14 23:45:10 CDT,1623732310364,1,set_1,25,9,A little,A little,Moderately,A little,A little,A little,Quite a bit,Moderately,Quite a bit,Quite a bit,Moderately,Moderately,Quite a bit,Quite a bit,No,No,0,A little,Might,No,No,,,,,,,,,,,,,,,,,,,,,,,Not at all,,,
mumblingfoundersubsonic@timestudy_com/2021-06-15/phone_promptresponse_clean_2021-06-15.csv,26,mumblingfoundersubsonic,Daily,TIME,RANDOM,23,0,2021-06-15,2021-06-15 23:27:00 CDT,GMT-05:00,1623817620167,Completed,2021-06-15,2021-06-15 23:29:09 CDT,1623817749657,1,set_1,25,9,Moderately,A little,Not at all,Moderately,A little,A little,Moderately,A little,Moderately,A little,Moderately,Quite a bit,Quite a bit,Moderately,No,No,0,A little,Probably will,Not really,No,,,,,,,,,,,,,,,,,,,,,,,Not at all,,,
mumblingfoundersubsonic@timestudy_com/2021-06-16/phone_promptresponse_clean_2021-06-16.csv,23,mumblingfoundersubsonic,Daily,TIME,RANDOM,23,0,2021-06-16,2021-06-16 23:40:00 CDT,GMT-05:00,1623904800141,Completed,2021-06-16,2021-06-16 23:46:13 CDT,1623905173034,2,set_4,24,9,Moderately,Not at all,Not at all,Moderately,A little,Moderately,Quite a bit,Moderately,Moderately,Quite a bit,A little,Moderately,Quite a bit,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,A little,Probably will not,Not really
mumblingfoundersubsonic@timestudy_com/2021-06-17/phone_promptresponse_clean_2021-06-17.csv,24,mumblingfoundersubsonic,Daily,TIME,RANDOM,23,0,2021-06-17,2021-06-17 23:26:00 CDT,GMT-05:00,1623990360157,Completed,2021-06-17,2021-06-17 23:27:59 CDT,1623990479268,1,set_4,23,9,A little,A little,Not at all,Moderately,A little,Moderately,Quite a bit,Moderately,Quite a bit,A little,Moderately,Quite a bit,Quite a bit,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Not really
mumblingfoundersubsonic@timestudy_com/2021-06-18/phone_promptresponse_clean_2021-06-18.csv,23,mumblingfoundersubsonic,Daily,TIME,RANDOM,22,23,2021-06-18,2021-06-18 22:49:00 CDT,GMT-05:00,1624074540195,Completed,2021-06-18,2021-06-18 22:50:29 CDT,1624074629915,1,set_1,24,9,Moderately,A little,Moderately,A little,Moderately,Moderately,Quite a bit,Quite a bit,Very much so,A little,Moderately,Quite a bit,Quite a bit,A little,No,Yes,0,A little,Probably will not,Not really,No,,,,,,,,,,,,,,,,,,,,,,,,,,
mumblingfoundersubsonic@timestudy_com/2021-06-20/phone_promptresponse_clean_2021-06-20.csv,1,mumblingfoundersubsonic,Daily,TIME,RANDOM,0,1,2021-06-20,2021-06-20 00:22:00 CDT,GMT-05:00,1624166520201,Completed,2021-06-20,2021-06-20 00:26:33 CDT,1624166793521,1,set_1,50,9,Quite a bit,Not at all,Moderately,A little,A little,Quite a bit,Quite a bit,Quite a bit,Quite a bit,A little,A little,Quite a bit,Quite a bit,Quite a bit,No,Did not have to work today,0,A little,Might,Sort of,No,,,,Sort of,No,Sort of,No,,,,Sort of,Not really,Moderately,A little,I am not experiencing viral symptoms,0 days,3 days,More,More,Neither more nor less,Very little,Moderate,A little bit,,,
