.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x30_affmot_sed,x31_int_sed,x32_plan_sed,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x55_engage,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x34_affmot_eat,x35_int_eat,x37_plan_eat
quizzicalpremiumfrayed@timestudy_com/2021-07-28/phone_promptresponse_clean_2021-07-28.csv,14,quizzicalpremiumfrayed,Daily,TIME,RANDOM,23,0,2021-07-28,2021-07-28 23:41:00 PDT,GMT-07:00,1627540860068,Completed,2021-07-28,2021-07-28 23:43:39 PDT,1627541019327,1,set_1,24,9,A little,Moderately,A little,A little,Moderately,A little,Moderately,A little,Moderately,Moderately,A little,A little,A little,Moderately,No,No,0,A little,Probably will not,No,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-07-29/phone_promptresponse_clean_2021-07-29.csv,23,quizzicalpremiumfrayed,Daily,BURST,RANDOM,23,0,2021-07-29,2021-07-29 23:39:00 PDT,GMT-07:00,1627627140143,Completed,2021-07-29,2021-07-29 23:40:47 PDT,1627627247056,1,set_3,23,9,A little,Moderately,A little,A little,Moderately,A little,A little,Not at all,Not at all,Moderately,Moderately,A little,Not at all,Moderately,No,No,0,,,,,A little,Probably will,Yes,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-07-30/phone_promptresponse_clean_2021-07-30.csv,24,quizzicalpremiumfrayed,Daily,BURST,RANDOM,23,0,2021-07-30,2021-07-30 23:38:00 PDT,GMT-07:00,1627713480106,Completed,2021-07-30,2021-07-30 23:39:49 PDT,1627713589776,1,set_2,24,9,Moderately,Moderately,A little,A little,Moderately,A little,A little,A little,A little,Moderately,Moderately,A little,Not at all,Moderately,No,No,0,,,,,,,,Quite a bit,Probably will,Yes,Somewhat,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-01/phone_promptresponse_clean_2021-08-01.csv,1,quizzicalpremiumfrayed,Daily,BURST,RANDOM,0,1,2021-08-01,2021-08-01 00:17:00 PDT,GMT-07:00,1627802220116,Completed,2021-08-01,2021-08-01 00:23:09 PDT,1627802589246,2,set_2,48,9,A little,Moderately,Extremely,Not at all,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Moderately,A little,Not at all,Moderately,No,No,0,,,,,,,,Very much so,Probably will,Yes,A little bit,No,No,Not really,Maybe,No,Sort of,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,More,Very little,Very little,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-02/phone_promptresponse_clean_2021-08-02.csv,28,quizzicalpremiumfrayed,Daily,TIME,RANDOM,23,0,2021-08-02,2021-08-02 23:41:00 PDT,GMT-07:00,1627972860208,Completed,2021-08-02,2021-08-02 23:42:55 PDT,1627972975112,1,set_4,24,9,A little,Quite a bit,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Moderately,A little,Not at all,A little,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Probably will,Sort of
quizzicalpremiumfrayed@timestudy_com/2021-08-03/phone_promptresponse_clean_2021-08-03.csv,20,quizzicalpremiumfrayed,Daily,TIME,RANDOM,23,0,2021-08-03,2021-08-03 23:38:00 PDT,GMT-07:00,1628059080128,Completed,2021-08-03,2021-08-03 23:39:28 PDT,1628059168512,1,set_3,24,9,A little,Moderately,Moderately,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Moderately,A little,Not at all,Moderately,No,Did not have to work today,0,,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-05/phone_promptresponse_clean_2021-08-05.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-08-05,2021-08-05 00:28:00 PDT,GMT-07:00,1628148480153,PartiallyCompleted,,,,,set_1,10,9,A little,Moderately,A little,A little,Moderately,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-05/phone_promptresponse_clean_2021-08-05.csv,67,quizzicalpremiumfrayed,Daily,TIME,RANDOM,23,0,2021-08-05,2021-08-05 23:25:00 PDT,GMT-07:00,1628231100137,Completed,2021-08-05,2021-08-05 23:26:35 PDT,1628231195416,1,set_2,23,9,A little,Quite a bit,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,A little,Not at all,Moderately,No,No,0,,,,,,,,A little,Might,Trying to decide,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-07/phone_promptresponse_clean_2021-08-07.csv,1,quizzicalpremiumfrayed,Daily,TIME,RANDOM,0,1,2021-08-07,2021-08-07 00:27:00 PDT,GMT-07:00,1628321220135,PartiallyCompleted,,,,,set_4,9,9,A little,Moderately,A little,A little,Moderately,Not at all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quizzicalpremiumfrayed@timestudy_com/2021-08-07/phone_promptresponse_clean_2021-08-07.csv,21,quizzicalpremiumfrayed,Daily,TIME,RANDOM,23,0,2021-08-07,2021-08-07 23:44:00 PDT,GMT-07:00,1628405040148,Completed,2021-08-07,2021-08-07 23:46:16 PDT,1628405176179,1,set_3,23,9,A little,Moderately,A little,Quite a bit,Quite a bit,Not at all,A little,Not at all,A little,Quite a bit,Moderately,A little,Not at all,A little,No,Did not have to work today,0,,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,
