.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa,x34_affmot_eat,x35_int_eat,x37_plan_eat,x21_goal_pa,x24_wgoal_pa,x28_goal_sleep,x29_wgoal_sleep,x30_affmot_sed,x31_int_sed,x32_plan_sed,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x55_engage,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress
residentselfgutter@timestudy_com/2021-01-29/phone_promptresponse_clean_2021-01-29.csv,5,residentselfgutter,Daily,TIME,RANDOM,22,23,2021-01-29,2021-01-29 22:42:00 CST,GMT-06:00,1611981720104,Completed,2021-01-29,2021-01-29 22:47:18 CST,1611982038140,2,set_1,24,9,Moderately,Moderately,Moderately,A little,Moderately,Moderately,Quite a bit,A little,A little,A little,Quite a bit,Quite a bit,Quite a bit,Quite a bit,No,No,0,Not at all,Probably will not,No,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
residentselfgutter@timestudy_com/2021-01-30/phone_promptresponse_clean_2021-01-30.csv,31,residentselfgutter,Daily,TIME,RANDOM,23,0,2021-01-30,2021-01-30 23:34:00 CST,GMT-06:00,1612071240122,Completed,2021-01-30,2021-01-30 23:47:42 CST,1612072062764,2,set_4,23,9,A little,Quite a bit,Moderately,Not at all,Moderately,Quite a bit,Moderately,Moderately,Quite a bit,Quite a bit,A little,Not at all,A little,Quite a bit,No,No,0,,,,,Not at all,Definitely will not,No,,,,,,,,,,,,,,,,,,,,,,,
residentselfgutter@timestudy_com/2021-01-31/phone_promptresponse_clean_2021-01-31.csv,21,residentselfgutter,Daily,TIME,RANDOM,20,21,2021-01-31,2021-01-31 20:46:00 CST,GMT-06:00,1612147560168,PartiallyCompleted,,,,,set_3,35,9,A little,Quite a bit,A little,Moderately,A little,A little,A little,Moderately,A little,Moderately,Not at all,Not at all,A little,A little,No,Did not have to work today,0,,,,,,,,Not really,No and I didn't have a goal,Yes,Yes,Not at all,Definitely will not,No,No,Not really,Not at all,Not at all,I am not experiencing viral symptoms,,,,,,,,,,,
residentselfgutter@timestudy_com/2021-02-01/phone_promptresponse_clean_2021-02-01.csv,22,residentselfgutter,Daily,TIME,RANDOM,21,22,2021-02-01,2021-02-01 21:14:00 CST,GMT-06:00,1612235640114,Completed,2021-02-01,2021-02-01 21:16:19 CST,1612235779031,1,set_3,23,9,A little,Quite a bit,A little,Not at all,A little,Moderately,A little,Not at all,A little,Moderately,Not at all,Very much so,A little,Quite a bit,No,No,0,,,,,,,,,,,,Not at all,Definitely will not,Not really,,,,,,,,,,,,,,,,
residentselfgutter@timestudy_com/2021-02-02/phone_promptresponse_clean_2021-02-02.csv,24,residentselfgutter,Daily,TIME,RANDOM,21,22,2021-02-02,2021-02-02 21:49:00 CST,GMT-06:00,1612324140073,Completed,2021-02-02,2021-02-02 21:52:37 CST,1612324357978,1,set_1,24,9,A little,Quite a bit,A little,A little,A little,Moderately,Quite a bit,Extremely,A little,Not at all,Not at all,Quite a bit,Quite a bit,Moderately,No,No,0,Not at all,Definitely will not,No,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
residentselfgutter@timestudy_com/2021-02-03/phone_promptresponse_clean_2021-02-03.csv,26,residentselfgutter,Daily,TIME,RANDOM,22,23,2021-02-03,2021-02-03 22:22:00 CST,GMT-06:00,1612412520127,Completed,2021-02-03,2021-02-03 22:24:46 CST,1612412686001,1,set_4,23,9,A little,Quite a bit,Moderately,A little,Moderately,Quite a bit,Quite a bit,Extremely,A little,Not at all,Not at all,Very much so,Quite a bit,Moderately,No,No,0,,,,,A little,Probably will not,Not really,,,,,,,,,,,,,,,,,,,,,,,
residentselfgutter@timestudy_com/2021-02-04/phone_promptresponse_clean_2021-02-04.csv,21,residentselfgutter,Daily,BURST,RANDOM,20,21,2021-02-04,2021-02-04 20:48:00 CST,GMT-06:00,1612493280058,Completed,2021-02-04,2021-02-04 20:49:34 CST,1612493374086,1,set_2,24,9,A little,A little,Moderately,Moderately,Moderately,A little,Quite a bit,Moderately,Moderately,A little,A little,Quite a bit,Quite a bit,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,Somewhat,,,,,,,
residentselfgutter@timestudy_com/2021-02-05/phone_promptresponse_clean_2021-02-05.csv,24,residentselfgutter,Daily,BURST,RANDOM,23,0,2021-02-05,2021-02-05 23:28:00 CST,GMT-06:00,1612589280095,Completed,2021-02-05,2021-02-05 23:32:28 CST,1612589548177,1,set_1,24,9,A little,Moderately,Moderately,Moderately,Moderately,Moderately,Moderately,Quite a bit,A little,A little,Not at all,Quite a bit,A little,Quite a bit,No,No,0,Not at all,Definitely will not,No,but I had a goal,,,,,,,,,,,,,,,,,,,,,,,,,,
residentselfgutter@timestudy_com/2021-02-06/phone_promptresponse_clean_2021-02-06.csv,24,residentselfgutter,Daily,BURST,RANDOM,23,0,2021-02-06,2021-02-06 23:10:00 CST,GMT-06:00,1612674600110,Completed,2021-02-06,2021-02-06 23:45:37 CST,1612676737254,2,set_2,23,9,A little,Quite a bit,Quite a bit,Moderately,A little,Moderately,Moderately,Moderately,A little,Moderately,Moderately,Not at all,Moderately,Not at all,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,Very much so,Definitely will,Yes,,,,,,,,
residentselfgutter@timestudy_com/2021-02-07/phone_promptresponse_clean_2021-02-07.csv,20,residentselfgutter,Daily,BURST,RANDOM,20,21,2021-02-07,2021-02-07 20:44:00 CST,GMT-06:00,1612752240121,Completed,2021-02-07,2021-02-07 20:54:33 CST,1612752873233,2,set_3,48,9,A little,A little,A little,Moderately,Quite a bit,Moderately,A little,A little,A little,Moderately,Moderately,Not at all,A little,Not at all,No,Did not have to work today,0,,,,,,,,No,No and I didn't have a goal,Yes,Yes,Not at all,Definitely will not,No,No,No,Not at all,Moderately,I am not experiencing viral symptoms,,,,Somewhat,0 days,0 days,A lot less,A lot more,Neither more nor less,Quite a bit,Very little
