.key,.line,participant_id,prompt_type,study_mode,prompt_trigger,time_window_start,time_window_end,initial_prompt_date,initial_prompt_local_time,initial_prompt_utc_offset,initial_prompt_unixtime,answer_status,question_set_completion_date,question_set_completion_local_time,question_set_completion_unixtime,question_set_completion_prompt_number,probabilistic_question_set_selected,number_of_questions_presented,survey_version_number,x01_sad,x02_happy,x03_fatigued,x04_energetic,x05_relaxed,x06_tense,x07_stressed,x08_frustrated,x09_nervous,x10_focused,x11_resist,x12_procrastinate,x13_done,x14_routine,x15_sick,x16_missed,x17_traveled,x34_affmot_eat,x35_int_eat,x37_plan_eat,x30_affmot_sed,x31_int_sed,x32_plan_sed,x21_goal_pa,x24_wgoal_pa,x25_affmot_sleep,x26_int_sleep,x27_del_sleep,x28_goal_sleep,x29_wgoal_sleep,x33_goal_sed,x36_goal_eat,x38_covid_lonely,x39_covid_health,x40_viralsymp,x48_covid_pa_nrem,x49_covid_dog,x50_covid_pa_quant,x51_covid_sed_quant,x52_covid_sleep_quant,x53_covid_impact,x54_covid_stress,x55_engage,x19_affmot_pa,x20_int_pa,x22_plan_pa,x23_dgoal_pa
unelectedscrubbeddeflected@timestudy_com/2021-04-30/phone_promptresponse_clean_2021-04-30.csv,6,unelectedscrubbeddeflected,Daily,TIME,RANDOM,22,23,2021-04-30,2021-04-30 22:34:00 CDT,GMT-05:00,1619840040125,Completed,2021-04-30,2021-04-30 22:37:32 CDT,1619840252918,1,set_4,23,9,Not at all,Moderately,Not at all,A little,Quite a bit,Not at all,A little,Not at all,Not at all,A little,Quite a bit,A little,A little,Very much so,No,No,0,Very much so,Might,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-01/phone_promptresponse_clean_2021-05-01.csv,30,unelectedscrubbeddeflected,Daily,TIME,RANDOM,21,22,2021-05-01,2021-05-01 21:38:00 CDT,GMT-05:00,1619923080265,Completed,2021-05-01,2021-05-01 21:40:11 CDT,1619923211051,1,set_3,23,9,Not at all,Quite a bit,Not at all,Moderately,Moderately,Not at all,A little,Not at all,Not at all,Moderately,Moderately,A little,A little,Very much so,No,No,0,,,,A little,Probably will not,No,,,,,,,,,,,,,,,,,,,,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-02/phone_promptresponse_clean_2021-05-02.csv,22,unelectedscrubbeddeflected,Daily,TIME,RANDOM,21,22,2021-05-02,2021-05-02 21:39:00 CDT,GMT-05:00,1620009540249,Completed,2021-05-02,2021-05-02 23:03:40 CDT,1620014620902,2,set_2,47,9,Not at all,Quite a bit,Not at all,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,A little,Moderately,Moderately,Not at all,A little,No,No,0,,,,,,,Sort of,No,Very much so,Probably will,Yes,Sort of,Maybe,No,Sort of,Quite a bit,Not at all,I am not experiencing viral symptoms,0 days,0 days,More,Less,Neither more nor less,Moderate,Very little,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-03/phone_promptresponse_clean_2021-05-03.csv,23,unelectedscrubbeddeflected,Daily,TIME,RANDOM,22,23,2021-05-03,2021-05-03 22:42:00 CDT,GMT-05:00,1620099720261,Completed,2021-05-03,2021-05-03 22:43:38 CDT,1620099818209,1,set_4,23,9,Not at all,Moderately,Not at all,A little,Quite a bit,Not at all,A little,Not at all,Not at all,Quite a bit,Moderately,A little,Not at all,Moderately,No,No,0,Very much so,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-04/phone_promptresponse_clean_2021-05-04.csv,22,unelectedscrubbeddeflected,Daily,TIME,RANDOM,22,23,2021-05-04,2021-05-04 22:32:00 CDT,GMT-05:00,1620185520289,Completed,2021-05-04,2021-05-04 22:34:33 CDT,1620185673962,1,set_2,23,9,Not at all,A little,Quite a bit,Not at all,Moderately,Not at all,A little,Not at all,Not at all,Not at all,A little,Very much so,Quite a bit,Not at all,No,No,0,,,,,,,,,Very much so,Probably will,Yes,,,,,,,,,,,,,,,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-05/phone_promptresponse_clean_2021-05-05.csv,24,unelectedscrubbeddeflected,Daily,TIME,RANDOM,23,0,2021-05-05,2021-05-05 23:29:00 CDT,GMT-05:00,1620275340272,Completed,2021-05-05,2021-05-05 23:30:37 CDT,1620275437251,1,set_4,23,9,Not at all,A little,Quite a bit,Not at all,A little,Moderately,A little,Not at all,A little,Not at all,Moderately,Very much so,Quite a bit,Not at all,No,No,0,Very much so,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-06/phone_promptresponse_clean_2021-05-06.csv,24,unelectedscrubbeddeflected,Daily,TIME,RANDOM,23,0,2021-05-06,2021-05-06 23:33:00 CDT,GMT-05:00,1620361980222,Completed,2021-05-06,2021-05-06 23:34:55 CDT,1620362095063,1,set_2,24,9,A little,A little,A little,Not at all,Not at all,Quite a bit,Moderately,Moderately,Quite a bit,Not at all,Quite a bit,Very much so,Quite a bit,Not at all,No,No,0,,,,,,,,,Very much so,Probably will,Yes,,,,,,,,,,,,,,,Not at all,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-07/phone_promptresponse_clean_2021-05-07.csv,25,unelectedscrubbeddeflected,Daily,BURST,RANDOM,23,0,2021-05-07,2021-05-07 23:31:25 CDT,GMT-05:00,1620448285319,Completed,2021-05-07,2021-05-07 23:32:51 CDT,1620448371997,1,set_3,23,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Very much so,A little,Not at all,Very much so,No,No,0,,,,A little,Probably will,Not really,,,,,,,,,,,,,,,,,,,,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-09/phone_promptresponse_clean_2021-05-09.csv,2,unelectedscrubbeddeflected,Daily,BURST,RANDOM,23,0,2021-05-08,2021-05-08 23:11:00 CDT,GMT-05:00,1620533460244,PartiallyCompleted,,,,,set_2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-09/phone_promptresponse_clean_2021-05-09.csv,24,unelectedscrubbeddeflected,Daily,BURST,RANDOM,22,23,2021-05-09,2021-05-09 22:25:00 CDT,GMT-05:00,1620617100250,Completed,2021-05-09,2021-05-09 22:28:55 CDT,1620617335136,1,set_3,47,9,Not at all,Extremely,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,A little,Not at all,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,Quite a bit,Probably will not,Sort of,Yes,No,,,,Yes,Maybe,Not really,Yes,Moderately,Not at all,I am not experiencing viral symptoms,0 days,0 days,More,More,Neither more nor less,Moderate,Moderate,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-10/phone_promptresponse_clean_2021-05-10.csv,24,unelectedscrubbeddeflected,Daily,BURST,RANDOM,23,0,2021-05-10,2021-05-10 23:30:00 CDT,GMT-05:00,1620707400301,Completed,2021-05-10,2021-05-10 23:31:19 CDT,1620707479785,1,set_3,24,9,Not at all,Moderately,Not at all,A little,Quite a bit,A little,Not at all,Not at all,Not at all,A little,A little,Very much so,Moderately,Not at all,No,No,0,,,,Not at all,Might,No,,,,,,,,,,,,,,,,,,,,Somewhat,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-11/phone_promptresponse_clean_2021-05-11.csv,24,unelectedscrubbeddeflected,Daily,TIME,RANDOM,23,0,2021-05-11,2021-05-11 23:16:00 CDT,GMT-05:00,1620792960257,Completed,2021-05-11,2021-05-11 23:19:08 CDT,1620793148666,1,set_4,23,9,Not at all,Moderately,Quite a bit,Not at all,A little,A little,A little,Not at all,Not at all,A little,Not at all,Very much so,Moderately,Not at all,No,Did not have to work today,0,Very much so,Definitely will,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-12/phone_promptresponse_clean_2021-05-12.csv,21,unelectedscrubbeddeflected,Daily,TIME,RANDOM,22,23,2021-05-12,2021-05-12 22:16:04 CDT,GMT-05:00,1620875764232,Completed,2021-05-12,2021-05-12 22:17:43 CDT,1620875863354,1,set_4,24,9,Not at all,Moderately,Extremely,Not at all,A little,Moderately,Moderately,Not at all,Not at all,Moderately,Quite a bit,Very much so,Moderately,Not at all,No,No,0,Very much so,Definitely will,Sort of,,,,,,,,,,,,,,,,,,,,,,,Not at all,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-13/phone_promptresponse_clean_2021-05-13.csv,23,unelectedscrubbeddeflected,Daily,TIME,RANDOM,22,23,2021-05-13,2021-05-13 22:24:00 CDT,GMT-05:00,1620962640294,Completed,2021-05-13,2021-05-13 22:25:22 CDT,1620962722883,1,set_3,23,9,Not at all,Moderately,A little,A little,A little,Not at all,A little,A little,Not at all,Quite a bit,Quite a bit,A little,Not at all,Moderately,No,Did not have to work today,0,,,,A little,Probably will,No,,,,,,,,,,,,,,,,,,,,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-14/phone_promptresponse_clean_2021-05-14.csv,23,unelectedscrubbeddeflected,Daily,TIME,RANDOM,22,23,2021-05-14,2021-05-14 22:33:00 CDT,GMT-05:00,1621049580246,Completed,2021-05-14,2021-05-14 22:35:13 CDT,1621049713874,1,set_1,24,9,Not at all,Moderately,Not at all,Quite a bit,Moderately,Not at all,Not at all,Not at all,Not at all,Quite a bit,Moderately,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,Sort of,but I had a goal
unelectedscrubbeddeflected@timestudy_com/2021-05-15/phone_promptresponse_clean_2021-05-15.csv,23,unelectedscrubbeddeflected,Daily,TIME,RANDOM,22,23,2021-05-15,2021-05-15 22:35:00 CDT,GMT-05:00,1621136100506,Completed,2021-05-15,2021-05-15 22:36:24 CDT,1621136184572,1,set_3,24,9,Not at all,Moderately,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Not at all,Moderately,Not at all,Moderately,No,Did not have to work today,0,,,,Quite a bit,Might,No,,,,,,,,,,,,,,,,,,,,Not at all,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-16/phone_promptresponse_clean_2021-05-16.csv,22,unelectedscrubbeddeflected,Daily,TIME,RANDOM,21,22,2021-05-16,2021-05-16 21:17:00 CDT,GMT-05:00,1621217820302,Completed,2021-05-16,2021-05-16 21:22:26 CDT,1621218146531,2,set_4,47,9,Not at all,Moderately,Not at all,Moderately,Moderately,A little,Not at all,Not at all,Moderately,A little,Quite a bit,A little,A little,Not at all,No,Did not have to work today,0,Very much so,Definitely will,Yes,,,,Sort of,No,,,,Yes,Maybe,No,Yes,Moderately,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,More,Neither more nor less,Moderate,Very little,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-17/phone_promptresponse_clean_2021-05-17.csv,23,unelectedscrubbeddeflected,Daily,TIME,RANDOM,22,23,2021-05-17,2021-05-17 22:15:00 CDT,GMT-05:00,1621307700215,Completed,2021-05-17,2021-05-17 22:16:52 CDT,1621307812863,1,set_1,24,9,Not at all,Moderately,Not at all,Moderately,A little,A little,A little,Not at all,Very much so,Quite a bit,Very much so,Not at all,Not at all,Not at all,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Quite a bit,Might,Sort of,Maybe
unelectedscrubbeddeflected@timestudy_com/2021-05-18/phone_promptresponse_clean_2021-05-18.csv,37,unelectedscrubbeddeflected,Daily,TIME,RANDOM,21,22,2021-05-18,2021-05-18 21:49:00 CDT,GMT-05:00,1621392540278,Completed,2021-05-18,2021-05-18 22:03:20 CDT,1621393400454,2,set_1,24,9,Not at all,Moderately,A little,Moderately,A little,Not at all,Not at all,Not at all,A little,Quite a bit,Very much so,A little,Not at all,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all,Might,Not really,but I had a goal
unelectedscrubbeddeflected@timestudy_com/2021-05-20/phone_promptresponse_clean_2021-05-20.csv,50,unelectedscrubbeddeflected,Daily,TIME,RANDOM,21,22,2021-05-20,2021-05-20 21:44:00 CDT,GMT-05:00,1621565040194,Completed,2021-05-20,2021-05-20 22:23:44 CDT,1621567424535,1,set_3,23,9,Not at all,Moderately,A little,A little,Moderately,A little,Not at all,Not at all,A little,Quite a bit,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,A little,Probably will not,No,,,,,,,,,,,,,,,,,,,,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-21/phone_promptresponse_clean_2021-05-21.csv,23,unelectedscrubbeddeflected,Daily,TIME,RANDOM,22,23,2021-05-21,2021-05-21 22:46:00 CDT,GMT-05:00,1621655160179,Completed,2021-05-21,2021-05-21 22:48:08 CDT,1621655288128,1,set_1,24,9,Not at all,Quite a bit,A little,Moderately,Moderately,Not at all,A little,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Quite a bit,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Might,Sort of,but I had a goal
unelectedscrubbeddeflected@timestudy_com/2021-05-22/phone_promptresponse_clean_2021-05-22.csv,23,unelectedscrubbeddeflected,Daily,BURST,RANDOM,22,23,2021-05-22,2021-05-22 22:37:00 CDT,GMT-05:00,1621741020320,Completed,2021-05-22,2021-05-22 22:38:28 CDT,1621741108857,1,set_1,24,9,Not at all,Moderately,A little,Moderately,Quite a bit,Not at all,Not at all,Not at all,A little,Moderately,A little,A little,Not at all,Quite a bit,No,Did not have to work today,0,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Probably will,No,but I had a goal
unelectedscrubbeddeflected@timestudy_com/2021-05-23/phone_promptresponse_clean_2021-05-23.csv,22,unelectedscrubbeddeflected,Daily,BURST,RANDOM,21,22,2021-05-23,2021-05-23 21:21:00 CDT,GMT-05:00,1621822860212,Completed,2021-05-23,2021-05-23 21:25:34 CDT,1621823134958,1,set_2,47,9,Not at all,Moderately,Not at all,Moderately,Moderately,Moderately,Not at all,Not at all,Moderately,Quite a bit,Very much so,Not at all,Not at all,Not at all,No,Did not have to work today,0,,,,,,,Yes,No and I didn't have a goal,Very much so,Probably will,Yes,Yes,Yes,Sort of,Yes,A little,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,More,Neither more nor less,Very little,Not at all,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-24/phone_promptresponse_clean_2021-05-24.csv,21,unelectedscrubbeddeflected,Daily,BURST,RANDOM,21,22,2021-05-24,2021-05-24 21:42:02 CDT,GMT-05:00,1621910522805,Completed,2021-05-24,2021-05-24 21:45:13 CDT,1621910713563,1,set_1,25,9,Not at all,Moderately,Not at all,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Moderately,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,Very much,A little,Probably will not,No,Yes
unelectedscrubbeddeflected@timestudy_com/2021-05-25/phone_promptresponse_clean_2021-05-25.csv,22,unelectedscrubbeddeflected,Daily,BURST,RANDOM,20,21,2021-05-25,2021-05-25 20:46:02 CDT,GMT-05:00,1621993562574,Completed,2021-05-25,2021-05-25 20:47:08 CDT,1621993628645,1,set_2,25,9,Not at all,Moderately,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,Very much so,Probably will,Yes,,,,,,,,,,,,,,,A little bit,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-26/phone_promptresponse_clean_2021-05-26.csv,22,unelectedscrubbeddeflected,Daily,TIME,RANDOM,21,22,2021-05-26,2021-05-26 21:18:18 CDT,GMT-05:00,1622081898689,Completed,2021-05-26,2021-05-26 21:19:39 CDT,1622081979462,1,set_2,24,9,Not at all,Moderately,Not at all,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,Very much so,Might,Yes,,,,,,,,,,,,,,,Not at all,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-27/phone_promptresponse_clean_2021-05-27.csv,22,unelectedscrubbeddeflected,Daily,TIME,RANDOM,21,22,2021-05-27,2021-05-27 21:10:00 CDT,GMT-05:00,1622167800268,Completed,2021-05-27,2021-05-27 21:12:55 CDT,1622167975231,1,set_1,24,9,Not at all,Moderately,Not at all,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,Quite a bit,Very much so,Not at all,Not at all,Very much so,No,No,0,,,,,,,,,,,,,,,,,,,,,,,,,,,A little,Might,No,Yes
unelectedscrubbeddeflected@timestudy_com/2021-05-28/phone_promptresponse_clean_2021-05-28.csv,22,unelectedscrubbeddeflected,Daily,TIME,RANDOM,21,22,2021-05-28,2021-05-28 21:38:00 CDT,GMT-05:00,1622255880384,Completed,2021-05-28,2021-05-28 21:39:58 CDT,1622255998901,1,set_2,25,9,Not at all,Quite a bit,Not at all,Moderately,Moderately,Not at all,Not at all,Not at all,Not at all,Quite a bit,A little,Not at all,Not at all,Moderately,No,No,0,,,,,,,,,Not at all,Probably will not,No,,,,,,,,,,,,,,,A little bit,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-29/phone_promptresponse_clean_2021-05-29.csv,22,unelectedscrubbeddeflected,Daily,TIME,RANDOM,21,22,2021-05-29,2021-05-29 21:12:00 CDT,GMT-05:00,1622340720269,Completed,2021-05-29,2021-05-29 21:26:12 CDT,1622341572465,2,set_4,23,9,Not at all,Quite a bit,Not at all,Quite a bit,Quite a bit,Not at all,Not at all,Not at all,Not at all,Quite a bit,Moderately,Not at all,Not at all,Not at all,No,No,0,A little,Probably will not,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-30/phone_promptresponse_clean_2021-05-30.csv,22,unelectedscrubbeddeflected,Daily,TIME,RANDOM,21,22,2021-05-30,2021-05-30 21:38:00 CDT,GMT-05:00,1622428680251,Completed,2021-05-30,2021-05-30 23:27:35 CDT,1622435255104,2,set_3,47,9,Not at all,Quite a bit,Not at all,Moderately,Quite a bit,Not at all,Not at all,Not at all,Not at all,Moderately,Quite a bit,Not at all,Not at all,Moderately,No,Did not have to work today,0,,,,A little,Might,Not really,Sort of,No and I didn't have a goal,,,,Yes,Maybe,Sort of,Yes,Moderately,Not at all,I am not experiencing viral symptoms,0 days,0 days,Neither more nor less,Neither more nor less,Neither more nor less,Very little,Very little,,,,,
unelectedscrubbeddeflected@timestudy_com/2021-05-31/phone_promptresponse_clean_2021-05-31.csv,22,unelectedscrubbeddeflected,Daily,TIME,RANDOM,21,22,2021-05-31,2021-05-31 21:12:00 CDT,GMT-05:00,1622513520252,Completed,2021-05-31,2021-05-31 21:26:13 CDT,1622514373742,2,set_3,23,9,Not at all,Moderately,Not at all,A little,Moderately,A little,Not at all,Not at all,Not at all,Moderately,A little,A little,Not at all,Moderately,No,Did not have to work today,0,,,,Quite a bit,Probably will,Sort of,,,,,,,,,,,,,,,,,,,,,,,,
